Geoname ID,Name,ASCII Name,Alternate Names,Feature Class,Feature Code,Country Code,Country name EN,Country Code 2,Admin1 Code,Admin2 Code,Admin3 Code,Admin4 Code,Population,Elevation,DIgital Elevation Model,Timezone,Modification date,LABEL EN,Coordinates
457776,Ludza,Ludza,"Loutza,Lucyn,Ludsen,Ludza,Ludze,Lyutsin,lu zha,luja,lwdza,lwdzh,Λούτζα,Лудза,לודזה,لودزا,盧扎,루자",P,PPLA,LV,Latvia,,19,0680201,,,10514,,147,Europe/Riga,2019-09-05,Latvia,"56.53958, 27.71891"
457912,Līgatne,Ligatne,"Ligat,Ligatne,Līgatne,Patmale,Лигатне",P,PPLA2,LV,Latvia,,05,0421211,,,1433,,56,Europe/Riga,2021-08-16,Latvia,"57.23429, 25.04059"
460413,Daugavpils,Daugavpils,"Borisoglebsk,DGP,Daugaupils,Daugavpils,Daugawpils,Daugpelis,Daugpilis,Daugpils,Daugpiļs,Daugpėlis,Duenaburg,Duneburgum,Dvinsk,Dwinsk,Dyneburg,Dzwinow,Dünaburg,Dźwinów,Nevgin,Ntaounkavpils,Vaeinaenlinna,Vaeinalinn,Väinalinn,Väinänlinna,daugafupirusu,daugapeupilseu,daugaupilsa,dawghafbyls,dwgapyls,tao ge fu pi er si,Ντάουγκαβπιλς,Νταουγκάβπιλς,Борисоглебск,Даугавпилс,Даугавпілс,Дауґавпілс,Даўгаўпілс,Невгин,דאוגבפילס,דענענבורג,داوغافبيلس,دوگاپیلس,दौगौपिल्स,დაუგავპილსი,ダウガフピルス,陶格夫匹尔斯,다우가프필스,𐌳𐌰𐍅𐌲𐌰𐍅𐍀𐌹𐌻𐍃",P,PPLA,LV,Latvia,,06,,,,111564,,103,Europe/Riga,2021-08-31,Latvia,"55.88333, 26.53333"
460416,Daugavgrīva,Daugavgriva,"Daugavgriva,Daugavgrīva,Dinamjunde,Duenamuende,Dynemunt,Dünamünde,Ust'-Dvinsk,Даугавгрива,Динамюнде,Усть-Двинск",P,PPLX,LV,Latvia,,25,0010000,,,9952,6.0,5,Europe/Riga,2016-12-02,Latvia,"57.04315, 24.03613"
864721,Baloži,Balozi,"Balozhi,Balozi,Baloži,Rollbusch,Баложи",P,PPL,LV,Latvia,,80,0800807,,,6780,,17,Europe/Riga,2021-11-09,Latvia,"56.87643, 24.11825"
454130,Viļaka,Vilaka,"Vilaka,Viljaka,Vilyaka,Viļaka,Виляка",P,PPLA2,LV,Latvia,,03,0381615,,,1525,,97,Europe/Riga,2021-08-16,Latvia,"57.18458, 27.6722"
454530,Varakļāni,Varaklani,"Varaklani,Varakljany,Varaklyany,Varakļāni,Varklyane,Warkland,Warklany,Варакляны",P,PPLA,LV,Latvia,,E1,0701817,,,2106,,100,Europe/Riga,2016-12-02,Latvia,"56.60826, 26.75377"
454970,Talsi,Talsi,"Talsai,Talse,Talsen,Talsi,Talsy,Talsē,Telsy,ta er xi,talsi,talsy,Талси,Талсі,تالسي,تالسی,塔尔西,탈시",P,PPLA,LV,Latvia,,28,0880201,,,12022,,76,Europe/Riga,2016-12-02,Latvia,"57.24562, 22.58137"
456172,Riga,Riga,"RIX,Reiga,Riga,Rigae,Rige,Rigg-a,Rigo,Riia,Riigaa,Riika,Rija,Riqa,Ryga,Ríga,Ríge,Rīga,li jia,liga,ri ka,riga,rika,ryga,rygh,rygha,ryja,Ρίγα,Ригæ,Рига,Рыга,Ріґа,Ռիգա,ריגה,ריגע,رىگا,ريجا,ريغا,ریگا,रिगा,रीगा,রিগা,ரீகா,รีกา,རི་ག,რიგა,ሪጋ,リガ,里加,리가",P,PPLC,LV,Latvia,,25,0010000,,,742572,,6,Europe/Riga,2019-09-05,Latvia,"56.946, 24.10589"
459692,Grobiņa,Grobina,"Gerobin,Grobin,Grobina,Grobinya,Grobiņa",P,PPLA2,LV,Latvia,,DN,0641009,,,4203,,24,Europe/Riga,2021-08-16,Latvia,"56.53521, 21.16782"
